Space Name,Space Key,Work Item ID,Parent,Work Type,Summary,Description,Assignee,Planned Owner,Priority,Component,Sprint,Start Date,Deadline,Due Date,Original Estimate,Fix Version,Status,Labels,Labels,Labels,Labels
Medical Ontology Retrieval,MOR,1010,1000,Task,Verify VS Code Dev Container on every machine,"GOAL
Ensure every developer receives the same Python, dependencies, extensions, formatting, and test tools automatically.

SCOPE
- Install Docker Desktop, VS Code, and Dev Containers extension.
- Reopen repository in container.
- Verify Ruff format on save and Auto Save on focus change.
- Verify pre-commit hooks are installed.
- Run environment checker.

ACCEPTANCE CRITERIA
- All members report a successful container startup or a documented local fallback.
- No member installs Black or isort.
- Shared settings apply automatically.

EXPECTED EVIDENCE
- planning/setup/team_environment_signoff.csv

DEPENDENCIES
- 1005

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Lương Minh Quân; Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-12 16:00,2026-07-13 12:00,2026-07-13,10800,v0.1-mvp,Selected for Development,component-infra,priority-p0,docker,vscode
Medical Ontology Retrieval,MOR,1011,1010,Sub-task,Record environment sign-off for all members,"GOAL
Track who can run the standardized environment and who needs Colab fallback.

SCOPE
- Record OS, Docker status, Dev Container status, Ollama capability, and Colab fallback status.
- Create blockers for failed setups.

ACCEPTANCE CRITERIA
- Five member rows are present.
- Every failure has an owner and next action.

EXPECTED EVIDENCE
- planning/setup/team_environment_signoff.csv

DEPENDENCIES
- 1010

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Lương Minh Quân,P1,infra,Sprint 0 - Kickoff and Setup,2026-07-13 12:00,2026-07-13 16:00,2026-07-13,3600,v0.1-mvp,Selected for Development,component-infra,priority-p1,onboarding,
Medical Ontology Retrieval,MOR,1012,1000,Task,Upload and register original competition statement,"GOAL
Preserve the authoritative statement and derived notes in traceable locations.

SCOPE
- Store PDF and Markdown under docs/problem_statement/original/.
- Complete SOURCE.md.
- Keep summaries and assumptions under derived/.

ACCEPTANCE CRITERIA
- Original files are committed if redistribution is permitted.
- Source/provenance fields are complete.
- Derived notes never overwrite the original.

EXPECTED EVIDENCE
- docs/problem_statement/original/

DEPENDENCIES
- 1005

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,docs,Sprint 0 - Kickoff and Setup,2026-07-12 14:00,2026-07-13 10:00,2026-07-13,3600,v0.1-mvp,Selected for Development,component-docs,priority-p0,documentation,competition
Medical Ontology Retrieval,MOR,1013,1000,Task,"Freeze architecture, schema, and module contracts v0","GOAL
Give each workstream stable interfaces so implementation can proceed independently.

SCOPE
- Review entity, candidate, alias, ground-truth, and output schemas.
- Confirm package boundaries and public functions/classes.
- Confirm config keys and fallback behavior.
- Record architecture decisions.

ACCEPTANCE CRITERIA
- Schema and API docs have version v0.
- Model, Data, Pipeline, and QA owners approve them.
- Any unresolved item is tracked in Jira.

EXPECTED EVIDENCE
- docs/13_api_spec.md and schemas/

DEPENDENCIES
- 1001

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 0 - Kickoff and Setup,2026-07-13 08:00,2026-07-14 18:00,2026-07-14,18000,v0.1-mvp,Selected for Development,component-infra,priority-p0,architecture,
Medical Ontology Retrieval,MOR,1014,1000,Task,Maintain daily coordination and blocker triage,"GOAL
Keep execution synchronized and resolve blockers before they consume a full day.

SCOPE
- Run short planning and integration checks.
- Review Jira status accuracy.
- Escalate blockers after two focused hours.
- Cut or reassign work when deadlines are threatened.

ACCEPTANCE CRITERIA
- Daily updates are present.
- No blocker remains unowned overnight.
- Major decisions are recorded in ADRs or Jira.

EXPECTED EVIDENCE
- Jira board, meeting notes, and ADRs

DEPENDENCIES
- 1007

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Khang,P0,infra,Sprint 5 - Release Candidate,2026-07-13 08:00,2026-07-28 22:30,2026-07-28,57600,v0.3-rc,Backlog,component-infra,priority-p0,management,
Medical Ontology Retrieval,MOR,2000,,Epic,Data and Ontology Knowledge Base,"GOAL
Acquire, normalize, select, alias, validate, and maintain Vietnamese ICD-10 and RxNorm 2026 data.

SCOPE
- Coordinate all tasks and deliverables in this workstream.

ACCEPTANCE CRITERIA
- All child work items meet their Definition of Done.
- Epic outcome is integrated into the release candidate.

EXPECTED EVIDENCE
- Jira epic Data and Ontology Knowledge Base

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 5 - Release Candidate,2026-07-12 09:00,2026-07-28 20:00,2026-07-28,0,v0.3-rc,Backlog,component-data,priority-p0,epic,
Medical Ontology Retrieval,MOR,2001,2000,Task,Acquire official Vietnamese ICD-10 source files,"GOAL
Obtain the authoritative Vietnamese ICD-10 material specified by the organizer.

SCOPE
- Download Circular 06/2026/TT-BYT and official appendix.
- Record URLs, access time, filenames, and SHA-256 checksums.
- Record redistribution constraints.

ACCEPTANCE CRITERIA
- Files exist locally under data/raw/icd10_vi_2026/.
- SOURCE.md is complete.
- No WHO browser or ICD-10-CM source is substituted.

EXPECTED EVIDENCE
- data/raw/icd10_vi_2026/SOURCE.md

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 0 - Kickoff and Setup,2026-07-13 08:00,2026-07-14 18:00,2026-07-14,9000,v0.1-mvp,Selected for Development,component-data,priority-p0,source,icd10-vi
Medical Ontology Retrieval,MOR,2002,2000,Task,Acquire and pin official RxNorm 2026 release,"GOAL
Use one exact official RxNorm 2026 monthly release as the drug ontology source.

SCOPE
- Select one 2026 full monthly release.
- Record exact release date, archive location, license/access conditions, and checksum.
- Document required RRF files.

ACCEPTANCE CRITERIA
- Release is uniquely pinned.
- SOURCE.md and source registry are complete.
- Multiple release months are not mixed.

EXPECTED EVIDENCE
- data/raw/rxnorm_2026/SOURCE.md

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 0 - Kickoff and Setup,2026-07-13 10:00,2026-07-14 21:00,2026-07-14,10800,v0.1-mvp,Selected for Development,component-data,priority-p0,source,rxnorm
Medical Ontology Retrieval,MOR,2003,2000,Task,Define normalized ontology schemas and parser contracts,"GOAL
Create stable records for ICD codes, RxNorm concepts, aliases, provenance, and parse issues.

SCOPE
- Define required and optional fields.
- Define UTF-8 and normalization rules.
- Define parse-error log format.
- Update JSON Schema files.

ACCEPTANCE CRITERIA
- Data, Pipeline, and QA approve the schemas.
- Sample records validate against schemas.

EXPECTED EVIDENCE
- schemas/alias.schema.json and docs/06_data_workflow_and_sources.md

DEPENDENCIES
- 1013
- 2001
- 2002

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn; Lương Minh Quân,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-14 08:00,2026-07-15 11:00,2026-07-15,10800,v0.1-mvp,Backlog,component-data,priority-p0,schema,
Medical Ontology Retrieval,MOR,2004,2000,Task,Implement Vietnamese ICD-10 parser,"GOAL
Convert the official Vietnamese ICD-10 source into deterministic normalized JSONL records.

SCOPE
- Map source columns and hierarchy fields.
- Preserve code and Vietnamese canonical name.
- Log malformed rows instead of silently dropping them.
- Export deterministic sorted output.

ACCEPTANCE CRITERIA
- Parser is repeatable.
- Random samples match the official lookup source.
- Record and issue counts are reported.

EXPECTED EVIDENCE
- scripts/parse_icd10_vi.py and data/processed/icd10_vi_codes_full.jsonl

DEPENDENCIES
- 2001
- 2003

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn; Lương Minh Quân,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-15 08:00,2026-07-15 23:00,2026-07-15,25200,v0.1-mvp,Backlog,component-data,priority-p0,parser,
Medical Ontology Retrieval,MOR,2005,2004,Sub-task,Write ICD source-column and hierarchy specification,"GOAL
Remove ambiguity before parser implementation.

SCOPE
- Document columns, hierarchy rows, continuation rows, and known PDF/table issues.

ACCEPTANCE CRITERIA
- Specification includes examples of each row type.
- Open questions are resolved or logged.

EXPECTED EVIDENCE
- docs/06_data_workflow_and_sources.md

DEPENDENCIES
- 2001
- 2003

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-15 08:00,2026-07-15 12:00,2026-07-15,7200,v0.1-mvp,Backlog,component-data,priority-p0,specification,
Medical Ontology Retrieval,MOR,2006,2004,Sub-task,Code ICD parser and JSONL writer,"GOAL
Implement the approved deterministic parser.

SCOPE
- Read approved input format.
- Normalize whitespace without changing code meaning.
- Write JSONL and parse-issue log.

ACCEPTANCE CRITERIA
- Script runs from repository root.
- Output validates against schema.
- No absolute paths.

EXPECTED EVIDENCE
- scripts/parse_icd10_vi.py

DEPENDENCIES
- 2005

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Lương Minh Quân,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-15 12:00,2026-07-15 20:00,2026-07-15,14400,v0.1-mvp,Backlog,component-data,priority-p0,implementation,
Medical Ontology Retrieval,MOR,2007,2004,Sub-task,Verify ICD parser samples and counts,"GOAL
Confirm the parsed data represents the official source accurately.

SCOPE
- Cross-check a stratified sample.
- Review parse issues.
- Record chapter and code counts.

ACCEPTANCE CRITERIA
- Sample verification is documented.
- P0 parse errors are filed as bugs.

EXPECTED EVIDENCE
- experiments/icd_parser_validation.md

DEPENDENCIES
- 2006

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-15 20:00,2026-07-15 23:00,2026-07-15,5400,v0.1-mvp,Backlog,component-data,priority-p0,validation,
Medical Ontology Retrieval,MOR,2008,2000,Task,Implement RxNorm 2026 RRF parser,"GOAL
Convert the pinned RxNorm release into normalized concept records and selected source strings.

SCOPE
- Parse required RRF fields.
- Filter approved TTY values and active/non-suppressed records.
- Preserve RXCUI, TTY, canonical name, and provenance.
- Write counts by TTY.

ACCEPTANCE CRITERIA
- Parser is deterministic.
- Output validates against schema.
- Sample RXCUIs match official API/lookup results.

EXPECTED EVIDENCE
- scripts/parse_rxnorm_2026.py and data/processed/rxnorm_2026_concepts_full.jsonl

DEPENDENCIES
- 2002
- 2003

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn; Lương Minh Quân,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-15 13:00,2026-07-16 23:00,2026-07-16,28800,v0.1-mvp,Backlog,component-data,priority-p0,parser,
Medical Ontology Retrieval,MOR,2009,2008,Sub-task,Approve RxNorm TTY and suppression filters,"GOAL
Define which RxNorm concepts enter the project KB.

SCOPE
- Document selected TTY values.
- Document suppression and release filters.
- Define ingredient versus clinical-drug handling.

ACCEPTANCE CRITERIA
- Model and Data owners approve filters.
- Filter rationale is documented.

EXPECTED EVIDENCE
- docs/06_data_workflow_and_sources.md

DEPENDENCIES
- 2002

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-15 13:00,2026-07-16 11:00,2026-07-16,7200,v0.1-mvp,Backlog,component-data,priority-p0,specification,
Medical Ontology Retrieval,MOR,2010,2008,Sub-task,Code RxNorm RRF parser and writer,"GOAL
Implement the approved RxNorm parse and filtering specification.

SCOPE
- Read pipe-delimited RRF safely.
- Handle trailing delimiters and encoding.
- Write canonical records and source aliases.

ACCEPTANCE CRITERIA
- Script runs from repository root.
- Output is deterministic and schema-valid.
- Counts by TTY are emitted.

EXPECTED EVIDENCE
- scripts/parse_rxnorm_2026.py

DEPENDENCIES
- 2009

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Lương Minh Quân,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-16 11:00,2026-07-16 20:00,2026-07-16,16200,v0.1-mvp,Backlog,component-data,priority-p0,implementation,
Medical Ontology Retrieval,MOR,2011,2008,Sub-task,Verify RxNorm samples and record counts,"GOAL
Confirm parser correctness before alias generation.

SCOPE
- Cross-check sample RXCUIs and TTYs.
- Review inactive/suppressed filtering.
- Record counts and anomalies.

ACCEPTANCE CRITERIA
- Validation note is complete.
- P0/P1 data defects are filed.

EXPECTED EVIDENCE
- experiments/rxnorm_parser_validation.md

DEPENDENCIES
- 2010

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-16 20:00,2026-07-16 23:00,2026-07-16,5400,v0.1-mvp,Backlog,component-data,priority-p0,validation,
Medical Ontology Retrieval,MOR,2012,2000,Task,Select core ICD and RxNorm project scope,"GOAL
Choose a high-value ontology subset that is large enough for the task and manageable for self-coded retrieval.

SCOPE
- Define inclusion and exclusion criteria.
- Select common clinical diagnosis/drug domains.
- Record excluded categories and future expansion policy.
- Report selected code and concept counts.

ACCEPTANCE CRITERIA
- Selection is reproducible from full normalized data.
- Reasons and counts are documented.
- Core scope is approved by Tech Lead.

EXPECTED EVIDENCE
- data/processed/icd10_vi_codes_core.jsonl and data/processed/rxnorm_2026_codes_core.jsonl

DEPENDENCIES
- 2007
- 2011

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn; Khang,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-16 20:00,2026-07-17 15:00,2026-07-17,10800,v0.1-mvp,Backlog,component-data,priority-p0,scope,
Medical Ontology Retrieval,MOR,2013,2000,Task,Generate ICD and RxNorm aliases,"GOAL
Produce alias-level records for dense and sparse retrieval without manually writing every alias.

SCOPE
- Generate official-name and safe mechanical variants.
- Normalize punctuation, case, spacing, units, and approved accent variants.
- Merge reviewed abbreviations.
- Never collapse clinically distinct RxNorm or ICD concepts.
- Separate ambiguous or weak aliases.

ACCEPTANCE CRITERIA
- Every alias points to a valid core code.
- Duplicates and collisions are visible.
- Unsafe shortening is excluded from core aliases.

EXPECTED EVIDENCE
- data/processed/icd10_vi_aliases_core.jsonl and data/processed/rxnorm_2026_aliases_core.jsonl

DEPENDENCIES
- 2012

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn; Lương Minh Quân,P0,data,Sprint 2 - Retrieval Baselines,2026-07-17 15:00,2026-07-18 20:00,2026-07-18,25200,v0.2-core,Backlog,component-data,priority-p0,aliases,
Medical Ontology Retrieval,MOR,2014,2013,Sub-task,Specify safe and unsafe alias transformations,"GOAL
Define deterministic rules without converting symptoms or related concepts into aliases.

SCOPE
- List safe transformations.
- List transformations requiring review.
- List prohibited semantic shortening.

ACCEPTANCE CRITERIA
- Specification includes ICD and RxNorm examples.
- Model and QA owners approve risk rules.

EXPECTED EVIDENCE
- docs/06_data_workflow_and_sources.md

DEPENDENCIES
- 2012

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Dương Huệ Mẫn,P0,data,Sprint 1 - Data and Extraction MVP,2026-07-17 15:00,2026-07-17 20:00,2026-07-17,7200,v0.1-mvp,Backlog,component-data,priority-p0,specification,
Medical Ontology Retrieval,MOR,2015,2013,Sub-task,Code ICD alias generator,"GOAL
Generate approved Vietnamese ICD alias variants.

SCOPE
- Apply safe normalization rules.
- Preserve canonical source text and provenance.
- Emit collision report.

ACCEPTANCE CRITERIA
- Output validates against alias schema.
- Repeated runs are identical.

EXPECTED EVIDENCE
- scripts/generate_icd_aliases.py

DEPENDENCIES
- 2014

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Lương Minh Quân,P0,data,Sprint 2 - Retrieval Baselines,2026-07-18 08:00,2026-07-18 13:00,2026-07-18,9000,v0.2-core,Backlog,component-data,priority-p0,implementation,
Medical Ontology Retrieval,MOR,2016,2013,Sub-task,Code RxNorm alias generator,"GOAL
Generate approved RxNorm name, dose-spacing, and source-string variants.

SCOPE
- Respect TTY distinctions.
- Normalize dosage units safely.
- Do not map ingredient-only aliases to clinical-drug codes.

ACCEPTANCE CRITERIA
- Output validates against alias schema.
- Collision and ambiguity reports are produced.

EXPECTED EVIDENCE
- scripts/generate_rxnorm_aliases.py

DEPENDENCIES
- 2014

WORKING RULE
- Keep the Jira status and blocker field current.
- Link the pull request, document, dataset, metric, or other evidence before moving to Done.
- Use the Jira key in the branch name, commits, and pull request title when code is involved.",,Lương Minh Quân,P0,data,Sprint 2 - Retrieval Baselines,2026-07-18 10:00,2026-07-18 16:00,2026-07-18,10800,v0.2-core,Backlog,component-data,priority-p0,implementation,
